GE,ME,MI
ENSG00000154277,ENSG00000139370,ENSG00000140386
ENSG00000154319,ENSG00000139515,ENSG00000140395
ENSG00000154358,ENSG00000139618,ENSG00000140463
ENSG00000154545,ENSG00000139697,ENSG00000140830
ENSG00000154646,ENSG00000139915,ENSG00000140832
ENSG00000155066,ENSG00000139926,ENSG00000140905
ENSG00000155265,ENSG00000140043,ENSG00000140943
ENSG00000155495,ENSG00000140259,ENSG00000141127
ENSG00000155974,ENSG00000140297,ENSG00000141385
ENSG00000156006,ENSG00000140463,ENSG00000141506
ENSG00000156009,ENSG00000140464,ENSG00000141668
ENSG00000156103,ENSG00000140945,ENSG00000141682
ENSG00000156269,ENSG00000140955,ENSG00000141946
ENSG00000156959,ENSG00000141012,ENSG00000142166
ENSG00000157470,ENSG00000141052,ENSG00000142230
ENSG00000157613,ENSG00000141252,ENSG00000142453
ENSG00000157765,ENSG00000141480,ENSG00000142459
ENSG00000157851,ENSG00000141540,ENSG00000142627
ENSG00000158220,ENSG00000141570,ENSG00000142632
ENSG00000158571,ENSG00000141668,ENSG00000142634
ENSG00000158639,ENSG00000141959,ENSG00000142687
ENSG00000159184,ENSG00000142168,ENSG00000143184
ENSG00000159212,ENSG00000142319,ENSG00000143199
ENSG00000159217,ENSG00000142611,ENSG00000143297
ENSG00000159247,ENSG00000142798,ENSG00000143368
ENSG00000159289,ENSG00000142856,ENSG00000143479
ENSG00000160161,ENSG00000142973,ENSG00000143575
ENSG00000160182,ENSG00000143319,ENSG00000143761
ENSG00000160191,ENSG00000143499,ENSG00000143768
ENSG00000160224,ENSG00000143740,ENSG00000143793
ENSG00000160321,ENSG00000143761,ENSG00000143799
ENSG00000160868,ENSG00000143786,ENSG00000144407
ENSG00000161249,ENSG00000143858,ENSG00000144736
ENSG00000161649,ENSG00000143882,ENSG00000144792
ENSG00000162009,ENSG00000143924,ENSG00000144962
ENSG00000162040,ENSG00000143995,ENSG00000145216
ENSG00000162078,ENSG00000144057,ENSG00000145220
ENSG00000162493,ENSG00000144115,ENSG00000145414
ENSG00000162552,ENSG00000144224,ENSG00000145545
ENSG00000162738,ENSG00000144455,ENSG00000145700
ENSG00000162849,ENSG00000144645,ENSG00000145708
ENSG00000162873,ENSG00000144681,ENSG00000145741
ENSG00000162897,ENSG00000145390,ENSG00000145839
ENSG00000162931,ENSG00000145476,ENSG00000146276
ENSG00000162949,ENSG00000145526,ENSG00000146757
ENSG00000162975,ENSG00000145743,ENSG00000146856
ENSG00000163064,ENSG00000146038,ENSG00000146904
ENSG00000163082,ENSG00000146054,ENSG00000146963
ENSG00000163235,ENSG00000146555,ENSG00000146966
ENSG00000163395,ENSG00000146592,ENSG00000147140
ENSG00000163485,ENSG00000146648,ENSG00000147144
ENSG00000163499,ENSG00000146918,ENSG00000147485
ENSG00000163618,ENSG00000147127,ENSG00000147576
ENSG00000163735,ENSG00000147526,ENSG00000147874
ENSG00000163814,ENSG00000147533,ENSG00000148290
ENSG00000163825,ENSG00000147592,ENSG00000148795
ENSG00000164078,ENSG00000147647,ENSG00000149050
ENSG00000164107,ENSG00000147655,ENSG00000149115
ENSG00000164113,ENSG00000148053,ENSG00000149136
ENSG00000164114,ENSG00000148516,ENSG00000149187
ENSG00000164129,ENSG00000148634,ENSG00000149243
ENSG00000164161,ENSG00000148700,ENSG00000149273
ENSG00000164256,ENSG00000148773,ENSG00000149380
ENSG00000164287,ENSG00000149043,ENSG00000149485
ENSG00000164362,ENSG00000149451,ENSG00000149548
ENSG00000164438,ENSG00000149571,ENSG00000149571
ENSG00000164588,ENSG00000150269,ENSG00000149742
ENSG00000164651,ENSG00000150401,ENSG00000150045
ENSG00000164694,ENSG00000150625,ENSG00000150337
ENSG00000164778,ENSG00000150628,ENSG00000150394
ENSG00000164796,ENSG00000150760,ENSG00000150433
ENSG00000165061,ENSG00000151065,ENSG00000150551
ENSG00000165125,ENSG00000151176,ENSG00000150628
ENSG00000165238,ENSG00000151322,ENSG00000150681
ENSG00000165449,ENSG00000151498,ENSG00000150779
ENSG00000165478,ENSG00000151502,ENSG00000150787
ENSG00000165495,ENSG00000151503,ENSG00000151348
ENSG00000165496,ENSG00000151835,ENSG00000151640
ENSG00000165509,ENSG00000151948,ENSG00000151849
ENSG00000165556,ENSG00000152611,ENSG00000152128
ENSG00000165583,ENSG00000152689,ENSG00000152348
ENSG00000165584,ENSG00000152953,ENSG00000152359
