GE,ME,MI
ENSG00000125888,ENSG00000113569,ENSG00000117983
ENSG00000125998,ENSG00000113600,ENSG00000118046
ENSG00000126218,ENSG00000113810,ENSG00000118156
ENSG00000126583,ENSG00000114019,ENSG00000118217
ENSG00000126890,ENSG00000114062,ENSG00000118690
ENSG00000127249,ENSG00000114125,ENSG00000118705
ENSG00000127903,ENSG00000114268,ENSG00000119321
ENSG00000127928,ENSG00000114315,ENSG00000119392
ENSG00000128218,ENSG00000114374,ENSG00000119685
ENSG00000128408,ENSG00000114439,ENSG00000119688
ENSG00000128573,ENSG00000114529,ENSG00000119973
ENSG00000128610,ENSG00000114541,ENSG00000120068
ENSG00000128683,ENSG00000114648,ENSG00000120088
ENSG00000128710,ENSG00000115085,ENSG00000120215
ENSG00000128713,ENSG00000115266,ENSG00000120318
ENSG00000128714,ENSG00000115268,ENSG00000120563
ENSG00000128918,ENSG00000115295,ENSG00000120697
ENSG00000129151,ENSG00000115318,ENSG00000121351
ENSG00000129596,ENSG00000115474,ENSG00000121380
ENSG00000129654,ENSG00000115568,ENSG00000121542
ENSG00000129991,ENSG00000115657,ENSG00000121653
ENSG00000130054,ENSG00000115685,ENSG00000121764
ENSG00000130226,ENSG00000115825,ENSG00000121807
ENSG00000130283,ENSG00000115844,ENSG00000121988
ENSG00000130294,ENSG00000116014,ENSG00000122034
ENSG00000130540,ENSG00000116096,ENSG00000122194
ENSG00000130595,ENSG00000116106,ENSG00000122484
ENSG00000130643,ENSG00000116251,ENSG00000122507
ENSG00000130822,ENSG00000116285,ENSG00000122592
ENSG00000130829,ENSG00000116514,ENSG00000123130
ENSG00000130876,ENSG00000116539,ENSG00000123154
ENSG00000130957,ENSG00000116991,ENSG00000123353
ENSG00000130988,ENSG00000117020,ENSG00000123415
ENSG00000131187,ENSG00000117222,ENSG00000124019
ENSG00000131203,ENSG00000117281,ENSG00000124205
ENSG00000131730,ENSG00000117408,ENSG00000124228
ENSG00000131771,ENSG00000117691,ENSG00000124237
ENSG00000132026,ENSG00000118231,ENSG00000124302
ENSG00000132185,ENSG00000118473,ENSG00000124343
ENSG00000132429,ENSG00000118513,ENSG00000124459
ENSG00000132464,ENSG00000118514,ENSG00000124491
ENSG00000132554,ENSG00000118729,ENSG00000124562
ENSG00000132639,ENSG00000118898,ENSG00000124588
ENSG00000132677,ENSG00000119471,ENSG00000124688
ENSG00000132746,ENSG00000119487,ENSG00000124786
ENSG00000132821,ENSG00000119535,ENSG00000124827
ENSG00000132837,ENSG00000119888,ENSG00000124935
ENSG00000132840,ENSG00000119919,ENSG00000125124
ENSG00000132872,ENSG00000119946,ENSG00000125170
ENSG00000132938,ENSG00000120057,ENSG00000125245
ENSG00000133019,ENSG00000120088,ENSG00000125356
ENSG00000133115,ENSG00000120158,ENSG00000125409
ENSG00000133124,ENSG00000120253,ENSG00000125445
ENSG00000133134,ENSG00000120265,ENSG00000125482
ENSG00000133169,ENSG00000120314,ENSG00000125485
ENSG00000133454,ENSG00000120699,ENSG00000125508
ENSG00000133488,ENSG00000120802,ENSG00000125510
ENSG00000133519,ENSG00000120820,ENSG00000125551
ENSG00000133640,ENSG00000120925,ENSG00000125846
ENSG00000133661,ENSG00000121653,ENSG00000125877
ENSG00000133742,ENSG00000121988,ENSG00000125912
ENSG00000133863,ENSG00000122304,ENSG00000126091
ENSG00000133878,ENSG00000122386,ENSG00000126453
ENSG00000134020,ENSG00000122417,ENSG00000126524
ENSG00000134193,ENSG00000122592,ENSG00000126581
ENSG00000134240,ENSG00000122694,ENSG00000126709
ENSG00000134343,ENSG00000122735,ENSG00000127540
ENSG00000134760,ENSG00000122756,ENSG00000127663
ENSG00000134769,ENSG00000122965,ENSG00000127837
ENSG00000134873,ENSG00000123094,ENSG00000128050
ENSG00000135097,ENSG00000123154,ENSG00000128052
ENSG00000135220,ENSG00000123243,ENSG00000128285
ENSG00000135333,ENSG00000123384,ENSG00000128604
ENSG00000135374,ENSG00000123388,ENSG00000128928
ENSG00000135406,ENSG00000123600,ENSG00000129028
ENSG00000135409,ENSG00000123739,ENSG00000129038
ENSG00000135447,ENSG00000124164,ENSG00000129167
ENSG00000135638,ENSG00000124422,ENSG00000129353
ENSG00000135773,ENSG00000124608,ENSG00000129484
ENSG00000136002,ENSG00000124614,ENSG00000129562
ENSG00000136099,ENSG00000124782,ENSG00000129596
ENSG00000136327,ENSG00000124786,ENSG00000129757
ENSG00000136352,ENSG00000124787,ENSG00000130045
ENSG00000136531,ENSG00000124942,ENSG00000130558
ENSG00000136546,ENSG00000125484,ENSG00000130560
ENSG00000136573,ENSG00000125510,ENSG00000130706
ENSG00000136928,ENSG00000125522,ENSG00000130726
ENSG00000136944,ENSG00000125633,ENSG00000130755
ENSG00000137142,ENSG00000125726,ENSG00000130764
ENSG00000137440,ENSG00000125740,ENSG00000130772
ENSG00000137747,ENSG00000125744,ENSG00000130985
ENSG00000137875,ENSG00000125798,ENSG00000131068
ENSG00000138039,ENSG00000125841,ENSG00000131115
ENSG00000138079,ENSG00000125844,ENSG00000131368
ENSG00000138083,ENSG00000125888,ENSG00000131480
ENSG00000138100,ENSG00000125910,ENSG00000131495
ENSG00000138207,ENSG00000126233,ENSG00000131748
ENSG00000138308,ENSG00000126353,ENSG00000131788
ENSG00000138356,ENSG00000126456,ENSG00000132000
ENSG00000138622,ENSG00000126457,ENSG00000132205
ENSG00000138650,ENSG00000126461,ENSG00000132305
ENSG00000138653,ENSG00000126822,ENSG00000132330
ENSG00000138738,ENSG00000126890,ENSG00000132341
ENSG00000139144,ENSG00000126952,ENSG00000132376
ENSG00000139219,ENSG00000127125,ENSG00000132432
ENSG00000139330,ENSG00000127152,ENSG00000132646
ENSG00000139800,ENSG00000127585,ENSG00000132703
ENSG00000139910,ENSG00000127603,ENSG00000132846
ENSG00000139988,ENSG00000127947,ENSG00000132915
ENSG00000140093,ENSG00000128016,ENSG00000132970
ENSG00000140254,ENSG00000128298,ENSG00000133318
ENSG00000140274,ENSG00000128311,ENSG00000133612
ENSG00000140279,ENSG00000128422,ENSG00000133710
ENSG00000140459,ENSG00000128585,ENSG00000133937
ENSG00000140519,ENSG00000128694,ENSG00000134070
ENSG00000140538,ENSG00000128789,ENSG00000134339
ENSG00000141052,ENSG00000128791,ENSG00000134575
ENSG00000141338,ENSG00000128829,ENSG00000134627
ENSG00000141431,ENSG00000129028,ENSG00000134690
ENSG00000141433,ENSG00000129167,ENSG00000134748
ENSG00000141449,ENSG00000129204,ENSG00000134755
ENSG00000141485,ENSG00000129244,ENSG00000134873
ENSG00000141622,ENSG00000129250,ENSG00000135070
ENSG00000141639,ENSG00000129315,ENSG00000135077
ENSG00000141744,ENSG00000130005,ENSG00000135211
ENSG00000142449,ENSG00000130299,ENSG00000135218
ENSG00000142606,ENSG00000130479,ENSG00000135248
ENSG00000142661,ENSG00000130522,ENSG00000135324
ENSG00000143171,ENSG00000130714,ENSG00000135363
ENSG00000143318,ENSG00000130821,ENSG00000135414
ENSG00000143320,ENSG00000130827,ENSG00000135437
ENSG00000143452,ENSG00000130881,ENSG00000135443
ENSG00000143502,ENSG00000130997,ENSG00000135451
